,Location,Date Scraped,Vistor Visa Times,Student & Vistor Exchange Visa Times,All Other Non-Immigrant Visa Times
2904,Cape Town,2022-05-18,177,37,92
2905,Caracas,2022-05-18,Temporarily Closed,Temporarily Closed,Temporarily Closed
2906,Casablanca,2022-05-18,129,73,129
2907,Chisinau,2022-05-18,202,7,7
2908,Ciudad Juarez,2022-05-18,393,1,1
2909,Colombo,2022-05-18,100,4,100
2910,Cotonou,2022-05-18,139,139,139
2911,Dakar,2022-05-18,225,25,225
2912,Damascus,2022-05-18,Temporarily Closed,Temporarily Closed,Temporarily Closed
2913,Dar es Salaam,2022-05-18,50,21,21
2914,Dhaka,2022-05-18,560,619,30
2915,Djibouti,2022-05-18,365,90,90
2916,Doha,2022-05-18,155,21,6
2917,Dubai,2022-05-18,104,90,95
2918,Dublin,2022-05-18,163,4,151
2919,Frankfurt,2022-05-18,171,22,22
2920,Freetown,2022-05-18,113,113,113
2921,Georgetown,2022-05-18,718,1,1
2922,Guangzhou,2022-05-18,16,9,16
2923,Guatemala City,2022-05-18,938,1,1
2924,Guayaquil,2022-05-18,520,22,21
2925,Hamilton,2022-05-18,120,30,90
2926,Havana,2022-05-18,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
2927,Helsinki,2022-05-18,213,101,188
2928,Ho Chi Minh City,2022-05-18,365,85,95
2929,Hong Kong,2022-05-18,58,10,5
2930,Harare,2022-05-18,107,107,107
2931,Islamabad,2022-05-18,452,14,14
2932,Jakarta,2022-05-18,50,6,30
2933,Jerusalem,2022-05-18,281,52,1
2934,Johannesburg,2022-05-18,60,14,60
2935,Kabul,2022-05-18,Closed,Closed,Closed
2936,Kampala,2022-05-18,210,7,7
2937,Kathmandu,2022-05-18,274,80,17
2938,Khartoum,2022-05-18,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
2939,Kigali,2022-05-18,80,20,15
2940,Kingston,2022-05-18,740,100,11
2941,Kinshasa,2022-05-18,518,4,353
2942,Kuala Lumpur,2022-05-18,30,15,7
2943,Kuwait City,2022-05-18,7,7,7
2944,Kyiv,2022-05-18,Closed,Closed,Closed
2945,Lagos,2022-05-18,760,30,30
2946,La Paz,2022-05-18,90,1,1
2947,Libreville,2022-05-18,145,30,30
2948,Lilongwe,2022-05-18,92,92,92
2949,Lima,2022-05-18,380,14,14
2950,Ljubljana,2022-05-18,90,14,21
2951,Lome,2022-05-18,90,90,90
2952,London,2022-05-18,200,20,80
2953,Luanda,2022-05-18,24,17,1
2954,Lusaka,2022-05-18,18,17,18
2955,Madrid,2022-05-18,334,294,255
2956,Managua,2022-05-18,148,2,2
2957,Manama,2022-05-18,62,10,10
2958,Manila,2022-05-18,351,25,30
2959,Monrovia,2022-05-18,365,30,30
2960,Montevideo,2022-05-18,290,14,133
2961,Montreal,2022-05-18,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
2962,Moscow,2022-05-18,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
2963,Mumbai,2022-05-18,730,60,23
2964,Muscat,2022-05-18,14,14,14
2965,Naha,2022-05-18,10,10,110
2966,Nairobi,2022-05-18,645,300,22
2967,Naples,2022-05-18,60,60,7
2968,Nassau,2022-05-18,60,1,60
2969,New Delhi,2022-05-18,730,60,107
2970,Niamey,2022-05-18,90,90,90
2971,Nicosia,2022-05-18,130,7,130
2972,Oslo,2022-05-18,99,42,30
2973,Ouagadougou,2022-05-18,90,90,90
2974,Panama City,2022-05-18,630,26,50
2975,Paramaribo,2022-05-18,45,1,1
2976,Paris,2022-05-18,217,13,12
2977,Phnom Penh,2022-05-18,16,39,39
2978,Prague,2022-05-18,120,16,24
2979,Praia,2022-05-18,213,7,7
2980,Pristina,2022-05-18,221,17,221
2981,Port Au Prince,2022-05-18,365,1,7
2982,Port Moresby,2022-05-18,1,1,1
2983,Port of Spain,2022-05-18,310,7,7
2984,Rangoon,2022-05-18,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
2985,Reykjavik,2022-05-18,60,60,60
2986,Riga,2022-05-18,3,2,1
2987,Rio de Janeiro,2022-05-18,267,3,3
2988,Riyadh,2022-05-18,18,17,18
2989,Sanaa,2022-05-18,Temporarily Closed,Temporarily Closed,Temporarily Closed
2990,San Jose,2022-05-18,381,56,113
2991,San Salvador,2022-05-18,313,2,2
2992,Santiago,2022-05-18,784,120,213
2993,Santo Domingo,2022-05-18,60,30,10
2994,Sarajevo,2022-05-18,21,13,11
2995,Seoul,2022-05-18,42,42,42
2996,Singapore,2022-05-18,42,3,9
2997,Skopje,2022-05-18,224,224,224
2998,Sofia,2022-05-18,60,7,7
2999,Stockholm,2022-05-18,262,1,14
3000,Suva,2022-05-18,5,2,3
3001,Sydney,2022-05-18,386,137,152
3002,Taipei,2022-05-18,52,50,39
3003,Tallinn,2022-05-18,21,2,2
3004,Tashkent,2022-05-18,120,25,30
3005,Tbilisi,2022-05-18,705,7,19
3006,Tegucigalpa,2022-05-18,39,2,1
3007,Tel Aviv,2022-05-18,288,2,2
3008,Tirana,2022-05-18,326,14,14
3009,Tokyo,2022-05-18,60,9,16
3010,Tunis,2022-05-18,120,30,14
3011,Ulaanbaatar,2022-05-18,527,13,5
3012,Vancouver,2022-05-18,323,3,63
3013,Vienna,2022-05-18,170,60,43
3014,Vientiane,2022-05-18,2,1,2
3015,Vilnius,2022-05-18,50,27,22
3016,Warsaw,2022-05-18,18,3,3
3017,Yaounde,2022-05-18,62,51,62
3018,Yerevan,2022-05-18,659,610,81
3019,Zagreb,2022-05-18,99,2,4
3020,Abidjan,2022-05-17,353,172,2
3021,Abu Dhabi,2022-05-17,240,90,20
3022,Accra,2022-05-17,983,73,60
3023,Addis Ababa,2022-05-17,561,185,185
3024,Algiers,2022-05-17,88,7,7
3025,Almaty,2022-05-17,271,94,5
3026,Amman,2022-05-17,721,113,721
3027,Amsterdam,2022-05-17,240,73,134
3028,Ankara,2022-05-17,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3029,Antananarivo,2022-05-17,5,5,5
3030,Ashgabat,2022-05-17,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3031,Asmara,2022-05-17,7,7,7
3032,Asuncion,2022-05-17,390,10,10
3033,Athens,2022-05-17,637,14,30
3034,Auckland,2022-05-17,80,23,80
3035,Baghdad,2022-05-17,Closed,Closed,Closed
3036,Bangkok,2022-05-17,180,21,10
3037,Banjul,2022-05-17,120,21,21
3038,Beirut,2022-05-17,273,2,7
3039,Belgrade,2022-05-17,180,14,15
3040,Belmopan,2022-05-17,66,9,9
3041,Bern,2022-05-17,150,58,58
3042,Beirut,2022-05-17,273,2,7
3043,Bishkek,2022-05-17,388,18,388
3044,Bogota,2022-05-17,696,20,6
3045,Bratislava,2022-05-17,49,49,49
3046,Brazzaville,2022-05-17,29,29,29
3047,Bridgetown,2022-05-17,550,1,36
3048,Brussels,2022-05-17,120,40,50
3049,Bucharest,2022-05-17,231,3,7
3050,Budapest,2022-05-17,250,70,70
3051,Buenos Aires,2022-05-17,504,3,3
3052,Bujumbura,2022-05-17,3,3,3
3053,Cairo,2022-05-17,442,5,5
3054,Calgary,2022-05-17,303,9,128
3055,Cape Town,2022-05-17,177,37,92
3056,Caracas,2022-05-17,Temporarily Closed,Temporarily Closed,Temporarily Closed
3057,Casablanca,2022-05-17,129,73,129
3058,Chisinau,2022-05-17,202,7,7
3059,Ciudad Juarez,2022-05-17,393,1,1
3060,Colombo,2022-05-17,100,4,100
3061,Cotonou,2022-05-17,139,139,139
3062,Dakar,2022-05-17,225,25,225
3063,Damascus,2022-05-17,Temporarily Closed,Temporarily Closed,Temporarily Closed
3064,Dar es Salaam,2022-05-17,50,21,21
3065,Dhaka,2022-05-17,560,619,30
3066,Djibouti,2022-05-17,365,90,90
3067,Doha,2022-05-17,155,21,6
3068,Dubai,2022-05-17,104,90,95
3069,Dublin,2022-05-17,163,4,151
3070,Frankfurt,2022-05-17,171,22,22
3071,Freetown,2022-05-17,113,113,113
3072,Georgetown,2022-05-17,718,1,1
3073,Guangzhou,2022-05-17,16,9,16
3074,Guatemala City,2022-05-17,938,1,1
3075,Guayaquil,2022-05-17,520,22,21
3076,Hamilton,2022-05-17,120,30,90
3077,Havana,2022-05-17,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3078,Helsinki,2022-05-17,213,101,188
3079,Ho Chi Minh City,2022-05-17,365,85,95
3080,Hong Kong,2022-05-17,57,5,5
3081,Harare,2022-05-17,107,107,107
3082,Islamabad,2022-05-17,449,21,15
3083,Jakarta,2022-05-17,50,6,30
3084,Jerusalem,2022-05-17,281,52,1
3085,Johannesburg,2022-05-17,60,14,60
3086,Kabul,2022-05-17,Closed,Closed,Closed
3087,Kampala,2022-05-17,210,7,7
3088,Kathmandu,2022-05-17,274,80,17
3089,Khartoum,2022-05-17,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3090,Kigali,2022-05-17,80,20,15
3091,Kingston,2022-05-17,740,100,11
3092,Kinshasa,2022-05-17,518,4,353
3093,Kuala Lumpur,2022-05-17,30,15,7
3094,Kuwait City,2022-05-17,7,7,7
3095,Kyiv,2022-05-17,Closed,Closed,Closed
3096,Lagos,2022-05-17,760,30,30
3097,La Paz,2022-05-17,90,1,1
3098,Libreville,2022-05-17,145,30,30
3099,Lilongwe,2022-05-17,92,92,92
3100,Lima,2022-05-17,380,14,14
3101,Ljubljana,2022-05-17,90,14,21
3102,Lome,2022-05-17,90,90,90
3103,London,2022-05-17,200,20,80
3104,Luanda,2022-05-17,24,17,1
3105,Lusaka,2022-05-17,18,17,18
3106,Madrid,2022-05-17,334,294,255
3107,Managua,2022-05-17,148,2,2
3108,Manama,2022-05-17,62,10,10
3109,Manila,2022-05-17,351,25,30
3110,Monrovia,2022-05-17,365,30,30
3111,Montevideo,2022-05-17,403,7,87
3112,Montreal,2022-05-17,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3113,Moscow,2022-05-17,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3114,Mumbai,2022-05-17,730,60,23
3115,Muscat,2022-05-17,14,14,14
3116,Naha,2022-05-17,10,10,110
3117,Nairobi,2022-05-17,645,300,22
3118,Naples,2022-05-17,60,60,7
3119,Nassau,2022-05-17,60,1,60
3120,New Delhi,2022-05-17,87,28,236
3121,Niamey,2022-05-17,90,90,90
3122,Nicosia,2022-05-17,130,7,130
3123,Oslo,2022-05-17,99,42,30
3124,Ouagadougou,2022-05-17,90,90,90
3125,Panama City,2022-05-17,630,26,50
3126,Paramaribo,2022-05-17,45,1,1
3127,Paris,2022-05-17,217,13,12
3128,Phnom Penh,2022-05-17,16,39,39
3129,Prague,2022-05-17,120,16,24
3130,Praia,2022-05-17,213,7,7
3131,Pristina,2022-05-17,221,17,221
3132,Port Au Prince,2022-05-17,365,1,7
3133,Port Moresby,2022-05-17,1,1,1
3134,Port of Spain,2022-05-17,310,7,7
3135,Rangoon,2022-05-17,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3136,Reykjavik,2022-05-17,60,60,60
3137,Riga,2022-05-17,3,2,1
3138,Rio de Janeiro,2022-05-17,267,3,3
3139,Riyadh,2022-05-17,18,17,18
3140,Sanaa,2022-05-17,Temporarily Closed,Temporarily Closed,Temporarily Closed
3141,San Jose,2022-05-17,371,49,108
3142,San Salvador,2022-05-17,313,2,2
3143,Santiago,2022-05-17,784,120,213
3144,Santo Domingo,2022-05-17,60,30,10
3145,Sarajevo,2022-05-17,21,13,11
3146,Seoul,2022-05-17,42,42,42
3147,Singapore,2022-05-17,42,3,9
3148,Skopje,2022-05-17,224,224,224
3149,Sofia,2022-05-17,60,7,7
3150,Stockholm,2022-05-17,262,1,14
3151,Suva,2022-05-17,5,2,3
3152,Sydney,2022-05-17,386,137,152
3153,Taipei,2022-05-17,52,50,39
3154,Tallinn,2022-05-17,21,2,2
3155,Tashkent,2022-05-17,120,25,30
3156,Tbilisi,2022-05-17,705,7,19
3157,Tegucigalpa,2022-05-17,39,2,1
3158,Tel Aviv,2022-05-17,288,2,2
3159,Tirana,2022-05-17,326,14,14
3160,Tokyo,2022-05-17,60,9,16
3161,Tunis,2022-05-17,120,30,14
3162,Ulaanbaatar,2022-05-17,527,13,5
3163,Vancouver,2022-05-17,323,3,63
3164,Vienna,2022-05-17,170,60,43
3165,Vientiane,2022-05-17,2,1,2
3166,Vilnius,2022-05-17,50,27,22
3167,Warsaw,2022-05-17,18,3,3
3168,Yaounde,2022-05-17,62,51,62
3169,Yerevan,2022-05-17,659,610,81
3170,Zagreb,2022-05-17,99,2,4
3171,Abidjan,2022-05-16,353,172,2
3172,Abu Dhabi,2022-05-16,240,90,20
3173,Accra,2022-05-16,983,73,60
3174,Addis Ababa,2022-05-16,561,185,185
3175,Algiers,2022-05-16,88,7,7
3176,Almaty,2022-05-16,271,94,5
3177,Amman,2022-05-16,721,113,721
3178,Amsterdam,2022-05-16,240,73,134
3179,Ankara,2022-05-16,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3180,Antananarivo,2022-05-16,5,5,5
3181,Ashgabat,2022-05-16,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3182,Asmara,2022-05-16,7,7,7
3183,Asuncion,2022-05-16,390,10,10
3184,Athens,2022-05-16,637,14,30
3185,Auckland,2022-05-16,80,23,80
3186,Baghdad,2022-05-16,Closed,Closed,Closed
3187,Bangkok,2022-05-16,150,49,17
3188,Banjul,2022-05-16,120,21,21
3189,Beirut,2022-05-16,273,4,3
3190,Belgrade,2022-05-16,180,14,15
3191,Belmopan,2022-05-16,65,9,9
3192,Bern,2022-05-16,150,58,58
3193,Beirut,2022-05-16,273,4,3
3194,Bishkek,2022-05-16,388,18,388
3195,Bogota,2022-05-16,696,20,6
3196,Bratislava,2022-05-16,49,49,49
3197,Brazzaville,2022-05-16,36,36,36
3198,Bridgetown,2022-05-16,550,1,36
3199,Brussels,2022-05-16,120,40,50
3200,Bucharest,2022-05-16,210,3,7
3201,Budapest,2022-05-16,250,70,70
3202,Buenos Aires,2022-05-16,504,3,3
3203,Bujumbura,2022-05-16,3,3,3
3204,Cairo,2022-05-16,442,5,5
3205,Calgary,2022-05-16,303,9,128
3206,Cape Town,2022-05-16,177,37,92
3207,Caracas,2022-05-16,Temporarily Closed,Temporarily Closed,Temporarily Closed
3208,Casablanca,2022-05-16,121,16,121
3209,Chisinau,2022-05-16,202,7,7
3210,Ciudad Juarez,2022-05-16,407,3,3
3211,Colombo,2022-05-16,100,4,100
3212,Cotonou,2022-05-16,139,139,139
3213,Dakar,2022-05-16,225,25,225
3214,Damascus,2022-05-16,Temporarily Closed,Temporarily Closed,Temporarily Closed
3215,Dar es Salaam,2022-05-16,50,21,21
3216,Dhaka,2022-05-16,560,619,30
3217,Djibouti,2022-05-16,365,90,90
3218,Doha,2022-05-16,155,21,6
3219,Dubai,2022-05-16,104,90,95
3220,Dublin,2022-05-16,163,23,29
3221,Frankfurt,2022-05-16,171,22,22
3222,Freetown,2022-05-16,106,106,106
3223,Georgetown,2022-05-16,718,1,1
3224,Guangzhou,2022-05-16,16,9,16
3225,Guatemala City,2022-05-16,891,1,1
3226,Guayaquil,2022-05-16,511,25,7
3227,Hamilton,2022-05-16,120,30,90
3228,Havana,2022-05-16,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3229,Helsinki,2022-05-16,213,101,188
3230,Ho Chi Minh City,2022-05-16,365,85,95
3231,Hong Kong,2022-05-16,57,5,5
3232,Harare,2022-05-16,107,107,107
3233,Islamabad,2022-05-16,449,21,15
3234,Jakarta,2022-05-16,30,3,9
3235,Jerusalem,2022-05-16,281,52,1
3236,Johannesburg,2022-05-16,60,14,60
3237,Kabul,2022-05-16,Closed,Closed,Closed
3238,Kampala,2022-05-16,210,7,7
3239,Kathmandu,2022-05-16,10,136,8
3240,Khartoum,2022-05-16,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3241,Kigali,2022-05-16,80,20,15
3242,Kingston,2022-05-16,732,4,4
3243,Kinshasa,2022-05-16,518,4,353
3244,Kuala Lumpur,2022-05-16,30,8,8
3245,Kuwait City,2022-05-16,7,7,7
3246,Kyiv,2022-05-16,Closed,Closed,Closed
3247,Lagos,2022-05-16,760,30,30
3248,La Paz,2022-05-16,90,1,1
3249,Libreville,2022-05-16,145,30,30
3250,Lilongwe,2022-05-16,79,79,79
3251,Lima,2022-05-16,380,14,14
3252,Ljubljana,2022-05-16,90,14,21
3253,Lome,2022-05-16,90,90,90
3254,London,2022-05-16,200,20,80
3255,Luanda,2022-05-16,24,17,1
3256,Lusaka,2022-05-16,24,11,24
3257,Madrid,2022-05-16,334,294,255
3258,Managua,2022-05-16,147,2,8
3259,Manama,2022-05-16,58,11,4
3260,Manila,2022-05-16,351,25,30
3261,Monrovia,2022-05-16,365,30,30
3262,Montevideo,2022-05-16,403,7,87
3263,Montreal,2022-05-16,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3264,Moscow,2022-05-16,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3265,Mumbai,2022-05-16,67,25,23
3266,Muscat,2022-05-16,14,14,14
3267,Naha,2022-05-16,10,10,110
3268,Nairobi,2022-05-16,639,239,1
3269,Naples,2022-05-16,60,60,7
3270,Nassau,2022-05-16,60,1,60
3271,New Delhi,2022-05-16,87,28,236
3272,Niamey,2022-05-16,90,90,90
3273,Nicosia,2022-05-16,130,7,130
3274,Oslo,2022-05-16,141,44,37
3275,Ouagadougou,2022-05-16,90,90,90
3276,Panama City,2022-05-16,630,26,50
3277,Paramaribo,2022-05-16,45,1,1
3278,Paris,2022-05-16,217,13,12
3279,Phnom Penh,2022-05-16,16,39,39
3280,Prague,2022-05-16,14,16,7
3281,Praia,2022-05-16,127,7,7
3282,Pristina,2022-05-16,221,17,221
3283,Port Au Prince,2022-05-16,365,1,7
3284,Port Moresby,2022-05-16,1,1,1
3285,Port of Spain,2022-05-16,263,51,50
3286,Rangoon,2022-05-16,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3287,Reykjavik,2022-05-16,60,60,60
3288,Riga,2022-05-16,3,2,1
3289,Rio de Janeiro,2022-05-16,252,2,5
3290,Riyadh,2022-05-16,24,11,24
3291,Sanaa,2022-05-16,Temporarily Closed,Temporarily Closed,Temporarily Closed
3292,San Jose,2022-05-16,371,49,108
3293,San Salvador,2022-05-16,314,2,2
3294,Santiago,2022-05-16,743,141,249
3295,Santo Domingo,2022-05-16,60,30,10
3296,Sarajevo,2022-05-16,25,13,11
3297,Seoul,2022-05-16,42,42,42
3298,Singapore,2022-05-16,37,1,1
3299,Skopje,2022-05-16,224,224,224
3300,Sofia,2022-05-16,60,7,7
3301,Stockholm,2022-05-16,262,1,14
3302,Suva,2022-05-16,5,2,3
3303,Sydney,2022-05-16,386,137,152
3304,Taipei,2022-05-16,52,50,39
3305,Tallinn,2022-05-16,21,7,7
3306,Tashkent,2022-05-16,120,25,30
3307,Tbilisi,2022-05-16,705,7,19
3308,Tegucigalpa,2022-05-16,32,5,1
3309,Tel Aviv,2022-05-16,288,2,2
3310,Tirana,2022-05-16,322,14,14
3311,Tokyo,2022-05-16,60,9,16
3312,Tunis,2022-05-16,120,21,7
3313,Ulaanbaatar,2022-05-16,527,13,5
3314,Vancouver,2022-05-16,416,4,193
3315,Vienna,2022-05-16,170,60,43
3316,Vientiane,2022-05-16,2,1,2
3317,Vilnius,2022-05-16,50,27,22
3318,Warsaw,2022-05-16,140,2,2
3319,Yaounde,2022-05-16,62,51,62
3320,Yerevan,2022-05-16,658,612,52
3321,Zagreb,2022-05-16,99,2,4
3322,Abidjan,2022-05-15,353,172,2
3323,Abu Dhabi,2022-05-15,240,90,20
3324,Accra,2022-05-15,983,73,60
3325,Addis Ababa,2022-05-15,561,185,185
3326,Algiers,2022-05-15,88,7,7
3327,Almaty,2022-05-15,261,84,5
3328,Amman,2022-05-15,721,113,721
3329,Amsterdam,2022-05-15,240,73,134
3330,Ankara,2022-05-15,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3331,Antananarivo,2022-05-15,5,5,5
3332,Ashgabat,2022-05-15,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3333,Asmara,2022-05-15,7,7,7
3334,Asuncion,2022-05-15,390,10,10
3335,Athens,2022-05-15,637,14,30
3336,Auckland,2022-05-15,73,23,73
3337,Baghdad,2022-05-15,Closed,Closed,Closed
3338,Bangkok,2022-05-15,150,49,17
3339,Banjul,2022-05-15,120,21,21
3340,Beirut,2022-05-15,273,4,3
3341,Belgrade,2022-05-15,180,14,15
3342,Belmopan,2022-05-15,65,9,9
3343,Bern,2022-05-15,150,58,58
3344,Beirut,2022-05-15,273,4,3
3345,Bishkek,2022-05-15,85,9,85
3346,Bogota,2022-05-15,696,20,6
3347,Bratislava,2022-05-15,49,49,49
3348,Brazzaville,2022-05-15,36,36,36
3349,Bridgetown,2022-05-15,550,1,36
3350,Brussels,2022-05-15,120,40,50
3351,Bucharest,2022-05-15,210,3,7
3352,Budapest,2022-05-15,250,70,70
3353,Buenos Aires,2022-05-15,504,3,3
3354,Bujumbura,2022-05-15,3,3,3
3355,Cairo,2022-05-15,442,5,5
3356,Calgary,2022-05-15,303,9,128
3357,Cape Town,2022-05-15,157,10,65
3358,Caracas,2022-05-15,Temporarily Closed,Temporarily Closed,Temporarily Closed
3359,Casablanca,2022-05-15,121,16,121
3360,Chisinau,2022-05-15,183,13,6
3361,Ciudad Juarez,2022-05-15,407,3,3
3362,Colombo,2022-05-15,100,4,100
3363,Cotonou,2022-05-15,108,108,108
3364,Dakar,2022-05-15,225,25,225
3365,Damascus,2022-05-15,Temporarily Closed,Temporarily Closed,Temporarily Closed
3366,Dar es Salaam,2022-05-15,50,28,28
3367,Dhaka,2022-05-15,560,619,30
3368,Djibouti,2022-05-15,365,90,90
3369,Doha,2022-05-15,145,6,6
3370,Dubai,2022-05-15,104,90,95
3371,Dublin,2022-05-15,163,23,29
3372,Frankfurt,2022-05-15,171,22,22
3373,Freetown,2022-05-15,106,106,106
3374,Georgetown,2022-05-15,718,1,1
3375,Guangzhou,2022-05-15,6,6,6
3376,Guatemala City,2022-05-15,891,1,1
3377,Guayaquil,2022-05-15,511,25,7
3378,Hamilton,2022-05-15,120,30,90
3379,Havana,2022-05-15,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3380,Helsinki,2022-05-15,226,86,129
3381,Ho Chi Minh City,2022-05-15,365,85,95
3382,Hong Kong,2022-05-15,57,5,5
3383,Harare,2022-05-15,107,107,107
3384,Islamabad,2022-05-15,449,21,15
3385,Jakarta,2022-05-15,30,3,9
3386,Jerusalem,2022-05-15,268,1,1
3387,Johannesburg,2022-05-15,60,14,60
3388,Kabul,2022-05-15,Closed,Closed,Closed
3389,Kampala,2022-05-15,330,7,7
3390,Kathmandu,2022-05-15,10,136,8
3391,Khartoum,2022-05-15,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3392,Kigali,2022-05-15,80,20,15
3393,Kingston,2022-05-15,732,4,4
3394,Kinshasa,2022-05-15,518,4,353
3395,Kuala Lumpur,2022-05-15,30,8,8
3396,Kuwait City,2022-05-15,7,7,7
3397,Kyiv,2022-05-15,Closed,Closed,Closed
3398,Lagos,2022-05-15,760,30,30
3399,La Paz,2022-05-15,90,1,1
3400,Libreville,2022-05-15,145,30,30
3401,Lilongwe,2022-05-15,79,79,79
3402,Lima,2022-05-15,380,14,14
3403,Ljubljana,2022-05-15,90,14,21
3404,Lome,2022-05-15,90,90,90
3405,London,2022-05-15,200,20,80
3406,Luanda,2022-05-15,34,1,1
3407,Lusaka,2022-05-15,24,11,24
3408,Madrid,2022-05-15,334,294,255
3409,Managua,2022-05-15,147,2,8
3410,Manama,2022-05-15,58,11,4
3411,Manila,2022-05-15,349,24,28
3412,Monrovia,2022-05-15,365,30,30
3413,Montevideo,2022-05-15,403,7,87
3414,Montreal,2022-05-15,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3415,Moscow,2022-05-15,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3416,Mumbai,2022-05-15,35,23,23
3417,Muscat,2022-05-15,14,14,14
3418,Naha,2022-05-15,3,3,3
3419,Nairobi,2022-05-15,639,239,1
3420,Naples,2022-05-15,60,60,7
3421,Nassau,2022-05-15,60,1,60
3422,New Delhi,2022-05-15,87,28,236
3423,Niamey,2022-05-15,90,90,90
3424,Nicosia,2022-05-15,130,7,130
3425,Oslo,2022-05-15,141,44,37
3426,Ouagadougou,2022-05-15,90,90,90
3427,Panama City,2022-05-15,630,26,50
3428,Paramaribo,2022-05-15,45,1,1
3429,Paris,2022-05-15,217,13,12
3430,Phnom Penh,2022-05-15,22,9,9
3431,Prague,2022-05-15,14,16,7
3432,Praia,2022-05-15,127,7,7
3433,Pristina,2022-05-15,228,22,228
3434,Port Au Prince,2022-05-15,365,1,7
3435,Port Moresby,2022-05-15,1,1,1
3436,Port of Spain,2022-05-15,263,51,50
3437,Rangoon,2022-05-15,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3438,Reykjavik,2022-05-15,60,60,60
3439,Riga,2022-05-15,3,2,1
3440,Rio de Janeiro,2022-05-15,252,2,5
3441,Riyadh,2022-05-15,24,11,24
3442,Sanaa,2022-05-15,Temporarily Closed,Temporarily Closed,Temporarily Closed
3443,San Jose,2022-05-15,371,49,108
3444,San Salvador,2022-05-15,314,2,2
3445,Santiago,2022-05-15,743,141,249
3446,Santo Domingo,2022-05-15,60,30,10
3447,Sarajevo,2022-05-15,25,13,11
3448,Seoul,2022-05-15,25,22,25
3449,Singapore,2022-05-15,37,1,1
3450,Skopje,2022-05-15,224,224,224
3451,Sofia,2022-05-15,60,7,7
3452,Stockholm,2022-05-15,429,52,14
3453,Suva,2022-05-15,5,2,3
3454,Sydney,2022-05-15,386,137,152
3455,Taipei,2022-05-15,31,36,32
3456,Tallinn,2022-05-15,21,7,7
3457,Tashkent,2022-05-15,120,25,30
3458,Tbilisi,2022-05-15,705,7,19
3459,Tegucigalpa,2022-05-15,32,5,1
3460,Tel Aviv,2022-05-15,288,2,2
3461,Tirana,2022-05-15,322,14,14
3462,Tokyo,2022-05-15,45,4,9
3463,Tunis,2022-05-15,120,21,7
3464,Ulaanbaatar,2022-05-15,527,13,5
3465,Vancouver,2022-05-15,416,4,193
3466,Vienna,2022-05-15,170,60,43
3467,Vientiane,2022-05-15,28,1,28
3468,Vilnius,2022-05-15,50,27,22
3469,Warsaw,2022-05-15,140,2,2
3470,Yaounde,2022-05-15,62,51,62
3471,Yerevan,2022-05-15,658,612,52
3472,Zagreb,2022-05-15,99,2,4
3473,Abidjan,2022-05-14,353,172,2
3474,Abu Dhabi,2022-05-14,240,90,20
3475,Accra,2022-05-14,983,73,60
3476,Addis Ababa,2022-05-14,561,185,185
3477,Algiers,2022-05-14,88,7,7
3478,Almaty,2022-05-14,261,84,5
3479,Amman,2022-05-14,721,113,721
3480,Amsterdam,2022-05-14,240,73,134
3481,Ankara,2022-05-14,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3482,Antananarivo,2022-05-14,5,5,5
3483,Ashgabat,2022-05-14,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
3484,Asmara,2022-05-14,7,7,7
3485,Asuncion,2022-05-14,390,10,10
3486,Athens,2022-05-14,637,14,30
3487,Auckland,2022-05-14,73,23,73
3488,Baghdad,2022-05-14,Closed,Closed,Closed
3489,Bangkok,2022-05-14,150,49,17
3490,Banjul,2022-05-14,120,21,21
3491,Beirut,2022-05-14,273,4,3
